kata_tidak_baku,kata_baku
maps,peta
ok,oke
gogle,google
update,pembaruan
yg,yang
god,bagus
gak,tidak
map,peta
eror,galat
ga,tidak
banget,sekali
ya,iya
kasih,beri
bikin,buat
gk,tidak
udah,sudah
aja,saja
sat,saat
terimakasih,terima kasih
apk,aplikasi
muter,berputar
pas,tepat
kalo,kalau
ngaco,kacau
lemot,lambat
nyasar,tersesat
jelek,buruk
aku,saya
hp,ponsel
bermanfat,bermanfaat
d,di
tau,tahu
mulu,terus-menerus
biar,agar
kendaran,kendaraan
bug,galat
susah,sulit
jln,jalan
top,bagus
driver,pengemudi
penguna,pengguna
pake,pakai
sy,saya
mengunakan,menggunakan
mapsnya,petanya
bgt,sekali
bener,benar
tdk,tidak
tp,tapi
ngak,tidak
mantab,mantap
udh,sudah
km,kilometer
membatu,membantu
g,tidak
jos,bagus
and,dan
lg,lagi
cuma,hanya
karna,karena
ni,ini
nice,bagus
ku,saya
jalanya,jalannya
klo,kalau
to,ke
dah,sudah
gua,saya
ngasih,memberi
gw,saya
best,terbaik
i,saya
sip,oke
trus,terus
min,admin
nih,ini
liat,lihat
mapnya,petanya
telat,terlambat
utk,untuk
sdh,sudah
ko,kok
ojol,ojek daring
ap,apa
job,pekerjaan
tiap,setiap
knp,kenapa
is,adalah
loading,memuat
gimana,bagaimana
lelet,lambat
tingal,tinggal
tetep,tetap
balik,kembali
diupdate,diperbarui
ilang,hilang
view,tampilan
makasih,terima kasih
kesini,ke sini
gara,gara-gara
bgus,bagus
kemana,ke mana
dimana,di mana
dlm,dalam
ny,nya
online,daring
delay,tunda
soalnya,karena
stret,jalan
kayak,seperti
trimakasih,terima kasih
gitu,begitu
nyari,mencari
yah,ya
gmaps,google maps
nga,tidak
it,itu
ngk,tidak
kesasar,tersesat
info,informasi
very,sangat
menunjukan,menunjukkan
ketingalan,ketinggalan
blm,belum
sehinga,sehingga
kaya,seperti
tingi,tinggi
harusnya,seharusnya
alhamdulilah,alhamdulillah
y,ya
jgn,jangan
maf,maaf
wifi,wi-fi
me,saya
in,di
mantul,mantap betul
sya,saya
you,kamu
gampang,mudah
mingu,minggu
dikit,sedikit
gajelas,tidak jelas
jd,jadi
orderan,pesanan
tak,tidak
respon,respons
ngarahin,mengarahkan
deket,dekat
trs,terus
doang,saja
sampe,sampai
upgrade,tingkatkan
gabisa,tidak bisa
mutar,berputar
review,ulasan
cuman,hanya
dgn,dengan
kordinat,koordinat
benerin,memperbaiki
dl,dulu
tuh,itu
ngebug,galat
apl,aplikasi
k,ke
not,tidak
signal,sinyal
for,untuk
nunjukin,menunjukkan
arahin,arahkan
pekerjan,pekerjaan
bs,bisa
mntap,mantap
like,suka
tpi,tapi
lgi,lagi
asu,anjing
ngawur,kacau
dikasih,diberi
lu,kamu
n,dan
skrg,sekarang
truck,truk
abis,habis
ngikutin,mengikuti
perjalan,perjalanan
apdet,perbarui
time,waktu
mep,peta
dr,dari
seting,pengaturan
aplication,aplikasi
of,dari
gini,begini
its,ini
ribet,rumit
amat,sangat
puter,putar
emang,memang
pdhl,padahal
dipake,dipakai
woy,woi
mlh,malah
cepet,cepat
knpa,kenapa
krn,karena
tampilanya,tampilannya
uninstal,copot pemasangan
was,dulu
mengangu,mengganggu
keliatan,kelihatan
ofline,luring
go,pergi
sagat,sangat
aj,saja
rating,peringkat
helpful,membantu
kasi,beri
tai,tahi
lainya,lainnya
nyusahin,menyusahkan
skrng,sekarang
so,jadi
this,ini
perbaharui,perbarui
jdi,jadi
gada,tidak ada
jg,juga
real,nyata
kedepanya,ke depannya
pencet,tekan
dlu,dulu
no,tidak
kebuka,terbuka
manfat,manfaat
dg,dengan
rubah,ubah
kaga,tidak
ganguan,gangguan
on,aktif
service,layanan
hadeh,aduh
download,unduh
shope,shopee
bantuanya,bantuannya
gacor,lancar
